Months & Season,UK_Actual,Anomaly,England_Actual,Anomaly,Wales_Actual,Anomaly,Scotland_Actual,Anomaly,Northern Ireland_Actual,Anomaly,CET_Actual,Anomaly
January,3.9,0.2,3.8,-0.3,4.5,0.4,3.6,1,5.2,1,4,-0.4
February,5.3,1.6,5.9,1.8,5.7,1.7,4,1.3,5.3,1,6.1,1.7
March,7.3,1.8,8.4,2.2,7.6,1.8,5.4,1.3,7.2,1.4,8.7,2.1
April,8,0.6,8.8,0.7,8.2,0.6,6.7,0.6,8.2,0.6,8.9,0.4
May,12.1,1.8,12.9,1.7,12.4,1.8,10.6,1.8,12.1,1.9,13.2,1.5
June,14.5,1.5,15.9,1.9,14.7,1.5,12.1,0.8,13.8,1,16,1.5
July,15.1,0,16.6,0.3,15.3,0.1,12.9,-0.4,14.4,-0.2,16.8,0.1
August,14.5,-0.4,15.6,-0.5,14.5,-0.4,12.8,-0.2,13.9,-0.4,15.6,-0.8
Sept,12.6,-0.1,13.4,-0.3,12.6,-0.2,11.2,0.3,11.9,-0.4,13.5,-0.5
October,11.2,1.8,12.2,1.8,11.6,1.7,9.7,1.8,10.8,1.4,12.4,1.7
Nov,5.8,-0.4,6.6,-0.2,6.7,0,4.1,-0.9,5.8,-0.7,6.8,-0.3
Dec,4.1,0.2,4.7,0.3,5,0.5,2.9,0.1,4.7,0.2,4.8,0.2
Winter,5,1.3,5.2,1,5.5,1.3,4.4,1.7,5.6,1.3,5.4,0.9
Spring,9.1,1.4,10,1.5,9.4,1.4,7.6,1.2,9.2,1.3,10.3,1.4
Summer,14.7,0.4,16,0.5,14.8,0.4,12.6,0.1,14,0.1,16.1,0.2
Autumn,9.9,0.4,10.8,0.5,10.3,0.5,8.4,0.4,9.5,0.1,10.9,0.3
Annual,9.6,0.7,10.4,0.8,9.9,0.8,8,0.6,9.5,0.6,10.6,0.6
,,,,,,,,,,,,
,,,,,,,,,,,,
Key,,,,,,,,,,,,
,Warmest on record,Top ten warm,Warm: ranked in upper third of all years,Middle: ranked in middle third of all years,Cool: ranked in lower third of all years,Coldest on record,,,,,,
